OBJECTID,Address,Parcel,Units,Stories,UniqueID,Building_Name,Complex_Name,Case_Number,Building_Type,Status,Last_Date,Comments,Safety_Comments,Fire_Alarms,Sprinkler,Managing_Company,MFRecyclingStatus,ShapeSTArea,ShapeSTLength,Shape
1425,1115-A Broadmoor Dr,4.52023E+11,2,1,111,1115-A Broadmoor Dr,Broadmoor Drive Apartments,,Building,,1970/01/01 00:00:00+00,,,,,,,1650.346436,175.3127603,
1426,1115-B Broadmoor Dr,4.52023E+11,2,1,111,1115-B Broadmoor Dr,Broadmoor Drive Apartments,,Building,,1970/01/01 00:00:00+00,,,,,,,1280.589966,143.1448726,
1427,1835 Valley Rd,4.52024E+11,8,2,118,1835 Valley Rd,Hessel on the Park Apartments,AI07-0071,Complex,,2007/06/26 00:00:00+00,,,,,,Yes,618.3050537,103.2465613,
1428,1833 Valley Rd,4.52024E+11,8,2,118,1833 Valley Rd,Hessel on the Park Apartments,AI07-0071,Complex,,2007/06/26 00:00:00+00,,,,,,Yes,586.5515137,101.3065014,
1429,1831 Valley Rd,4.52024E+11,8,2,118,1831 Valley Rd,Hessel on the Park Apartments,AI07-0071,Complex,,2007/06/26 00:00:00+00,,,,,,Yes,2419.399536,200.576816,
1430,1813 Valley Rd,4.52024E+11,8,2,119,1813 Valley Rd,Hessel on the Park Apartments,AI07-0071,Complex,,2007/06/26 00:00:00+00,,,,,,Yes,2617.821411,209.7053006,
1431,1819 Valley Rd,4.52024E+11,8,2,119,1819 Valley Rd,Hessel on the Park Apartments,AI07-0071,Complex,,2007/06/26 00:00:00+00,,,,,,Yes,672.760376,106.5731643,
1432,1817 Valley Rd,4.52024E+11,8,2,119,1817 Valley Rd,Hessel on the Park Apartments,AI07-0071,Complex,,2007/06/26 00:00:00+00,,,,,,Yes,508.5688477,96.55142258,
1433,1807 Valley Rd,4.52024E+11,8,2,120,1807 Valley Rd,Hessel on the Park Apartments,AI07-0071,Complex,,2007/06/26 00:00:00+00,,,,,,Yes,1214.303711,139.5508848,
1434,1811 Valley Rd,4.52024E+11,8,2,120,1811 Valley Rd,Hessel on the Park Apartments,AI07-0071,Complex,,2007/06/26 00:00:00+00,,,,,,Yes,2333.831177,196.6049407,
1435,1801 Valley Rd,4.52024E+11,8,2,121,1801 Valley Rd,Hessel on the Park Apartments,AI07-0071,Complex,,2007/06/26 00:00:00+00,,,,,,Yes,2400.967773,198.564662,
1436,1850 Valley Rd,4.52024E+11,6,2,122,1850 Valley Rd,Hessel on the Park Apartments,AI07-0071,Complex,,2007/06/26 00:00:00+00,,,,,,Yes,522.6634521,100.2363801,
1437,1852 Valley Rd,4.52024E+11,6,2,122,1852 Valley Rd,Hessel on the Park Apartments,AI07-0071,Complex,,2007/06/26 00:00:00+00,,,,,,Yes,609.4129639,105.1485154,
1438,1854 Valley Rd,4.52024E+11,6,2,122,1854 Valley Rd,Hessel on the Park Apartments,AI07-0071,Complex,,2007/06/26 00:00:00+00,,,,,,Yes,579.4842529,103.4538224,
1439,1856 Valley Rd,4.52024E+11,6,2,122,1856 Valley Rd,Hessel on the Park Apartments,AI07-0071,Complex,,2007/06/26 00:00:00+00,,,,,,Yes,597.8817139,104.4955739,
1440,1858 Valley Rd,4.52024E+11,6,2,122,1858 Valley Rd,Hessel on the Park Apartments,AI07-0071,Complex,,2007/06/26 00:00:00+00,,,,,,Yes,533.2674561,100.8368242,
1441,1818 Valley Rd,4.52024E+11,8,2,123,1818 Valley Rd,Hessel on the Park Apartments,AI07-0071,Complex,,2007/06/26 00:00:00+00,,,,,,Yes,602.1595459,110.9424713,
1442,1822 Valley Rd,4.52024E+11,8,2,123,1822 Valley Rd,Hessel on the Park Apartments,AI07-0071,Complex,,2007/06/26 00:00:00+00,,,,,,Yes,670.6276855,117.0344259,
1443,1820 Valley Rd,4.52024E+11,8,2,123,1820 Valley Rd,Hessel on the Park Apartments,AI07-0071,Complex,,2007/06/26 00:00:00+00,,,,,,Yes,530.2338867,107.3480769,
1444,1824 Valley Rd,4.52024E+11,8,2,123,1824 Valley Rd,Hessel on the Park Apartments,AI07-0071,Complex,,2007/06/26 00:00:00+00,,,,,,Yes,670.0140381,117.0098175,
1445,1826 Valley Rd,4.52024E+11,8,2,123,1826 Valley Rd,Hessel on the Park Apartments,AI07-0071,Complex,,2007/06/26 00:00:00+00,,,,,,Yes,513.5806885,108.1122266,
1446,1828 Valley Rd,4.52024E+11,8,2,123,1828 Valley Rd,Hessel on the Park Apartments,AI07-0071,Complex,,2007/06/26 00:00:00+00,,,,,,Yes,581.5980225,111.9356536,
1447,1832 Valley Rd,4.52024E+11,8,2,123,1832 Valley Rd,Hessel on the Park Apartments,AI07-0071,Complex,,2007/06/26 00:00:00+00,,,,,,Yes,511.1616211,107.9777063,
1448,1821 Valley Rd,4.52024E+11,8,2,124,1821 Valley Rd,Hessel on the Park Apartments,AI07-0071,Complex,,2007/06/26 00:00:00+00,,,,,,Yes,2519.732544,204.8238813,
1449,1827 Valley Rd,4.52024E+11,8,2,124,1827 Valley Rd,Hessel on the Park Apartments,AI07-0071,Complex,,2007/06/26 00:00:00+00,,,,,,Yes,623.6702881,104.5297445,
1450,1825 Valley Rd,4.52024E+11,8,2,124,1825 Valley Rd,Hessel on the Park Apartments,AI07-0071,Complex,,2007/06/26 00:00:00+00,,,,,,Yes,591.2827148,102.6152336,
1451,1721 Valley Rd,4.52024E+11,8,2,125,1721 Valley Rd,Hessel on the Park Apartments,AI07-0071,Complex,,2007/06/26 00:00:00+00,,,,,,Yes,2414.661621,199.6241722,
1452,1802 Valley Rd,4.52024E+11,8,2,126,1802 Valley Rd,Hessel on the Park Apartments,AI07-0071,Complex,,2007/06/26 00:00:00+00,,,,,,Yes,528.5089111,101.9762618,
1453,1804 Valley Rd,4.52024E+11,8,2,126,1804 Valley Rd,Hessel on the Park Apartments,AI07-0071,Complex,,2007/06/26 00:00:00+00,,,,,,Yes,558.0761719,103.5957709,
1454,1806 Valley Rd,4.52024E+11,8,2,126,1806 Valley Rd,Hessel on the Park Apartments,AI07-0071,Complex,,2007/06/26 00:00:00+00,,,,,,Yes,557.824707,103.5819921,
1455,1808 Valley Rd,4.52024E+11,8,2,126,1808 Valley Rd,Hessel on the Park Apartments,AI07-0071,Complex,,2007/06/26 00:00:00+00,,,,,,Yes,633.5039063,107.7272096,
1456,1810 Valley Rd,4.52024E+11,8,2,126,1810 Valley Rd,Hessel on the Park Apartments,AI07-0071,Complex,,2007/06/26 00:00:00+00,,,,,,Yes,583.5700684,104.9921615,
1457,1812 Valley Rd,4.52024E+11,8,2,126,1812 Valley Rd,Hessel on the Park Apartments,AI07-0071,Complex,,2007/06/26 00:00:00+00,,,,,,Yes,596.1135254,105.6792058,
1458,1814 Valley Rd,4.52024E+11,8,2,126,1814 Valley Rd,Hessel on the Park Apartments,AI07-0071,Complex,,2007/06/26 00:00:00+00,,,,,,Yes,557.9506836,103.5888848,
1459,1834 Valley Rd,4.52024E+11,8,2,127,1834 Valley Rd,Hessel on the Park Apartments,AI07-0071,Complex,,2007/06/26 00:00:00+00,,,,,,Yes,600.7481689,105.7186683,
1460,1836 Valley Rd,4.52024E+11,8,2,127,1836 Valley Rd,Hessel on the Park Apartments,AI07-0071,Complex,,2007/06/26 00:00:00+00,,,,,,Yes,567.0718994,103.8639545,
