OBJECTID,Address,Parcel,Units,Stories,UniqueID,Building_Name,Complex_Name,Case_Number,Building_Type,Status,Last_Date,Comments,Safety_Comments,Fire_Alarms,Sprinkler,Managing_Company,MFRecyclingStatus,ShapeSTArea,ShapeSTLength,Shape
3092,314 E Clark St,4.62107E+11,12,3,,314 E Clark St,,,Building,,1970/01/01 00:00:00+00,,,,,,,4358.015015,304.8080772,
3093,403 W Healey St,4.32013E+11,3,3,,403 W Healey St,,,,,1970/01/01 00:00:00+00,,,,,,,1877.586548,187.1830247,
3094,703 N Randolph St,4.22012E+11,2,2,,703 N Randolph St,,,House,,1970/01/01 00:00:00+00,,,,,,,1544.973145,173.5186258,
3095,608 W Columbia Ave,4.22012E+11,2,2,,608 W Columbia Ave,,,House,,1970/01/01 00:00:00+00,,,,,,,1267.544067,148.2297573,
3096,52 E John St,4.32013E+11,2,2,,52 E John St,,,House,,1970/01/01 00:00:00+00,,,,,,,1309.142578,155.7897913,
3097,39 Chalmers St,4.32013E+11,3,3,,39 Chalmers St,,,Complex,,1970/01/01 00:00:00+00,,,,,,,2311.584106,203.4544813,
3098,37 Chalmers St,4.32013E+11,3,3,,37 Chalmers St,,,Complex,,1970/01/01 00:00:00+00,,,,,,,2280.74292,203.013635,
3099,302 Avondale Ave,4.32013E+11,2,2,,302 Avondale Ave,,,House,,1970/01/01 00:00:00+00,,,,,,,1634.103638,175.3721253,
3499,305 N Willis Ave,4.22011E+11,2,2,,305 N Willis Ave,,,House,,1970/01/01 00:00:00+00,,,,,,,1710.330933,195.1922123,
3501,306 Maple St,4.22012E+11,2,1,,306 Maple St,,,House,,1970/01/01 00:00:00+00,,,,,,,1075.252197,131.5856805,
3502,306 1/2 Maple St,4.22012E+11,2,1,,306 1/2 Maple St,,,House,,1970/01/01 00:00:00+00,,,,,,,789.0922852,112.4322994,
3503,907 W Washington St,4.12011E+11,2,2,,907 W Washington St,,,House,,1970/01/01 00:00:00+00,,,,,,,940.1864014,129.7270098,
3504,901 N McKinley Ave,4.12011E+11,2,2,,901 N McKinley Ave,,,House,,1970/01/01 00:00:00+00,,,,,,,1083.26123,136.1007264,
3505,813 W Vine St,4.22012E+11,2,2,,813 W Vine St,,,House,,1970/01/01 00:00:00+00,,,,,,,1585.960693,162.9160124,
3506,813 N Willis Ave,4.12011E+11,,,,813 N Willis Ave,,,House,,1970/01/01 00:00:00+00,,,,,,,1208.081909,140.3418302,
3508,307 E Church St,4.62107E+11,4,2,,307 E Church St,,,House,,1970/01/01 00:00:00+00,,,,,,,1806.074219,189.2903409,
3533,308 N First St,4.62107E+11,4,2,,308 N First St,,,House,,1970/01/01 00:00:00+00,,,,,,,1943.305664,191.5954555,
3537,309 E John St,4.62118E+11,16,5,,Sutton Place,,,Building,,1970/01/01 00:00:00+00,,,,,,Yes,4937.001099,373.8067095,
3547,309 S Neil St,4.22012E+11,4,2,,309 S Neil St,,,Over Commercial,,1970/01/01 00:00:00+00,,,,,,,18542.5376,637.1351855,
3548,309 Van Doren St,4.22012E+11,2,2,,309 Van Doren St,,,House,,1970/01/01 00:00:00+00,,,,,,,712.098877,126.9637294,
