OBJECTID,Address,Parcel,Units,Stories,UniqueID,Building_Name,Complex_Name,Case_Number,Building_Type,Status,Last_Date,Comments,Safety_Comments,Fire_Alarms,Sprinkler,Managing_Company,MFRecyclingStatus,ShapeSTArea,ShapeSTLength,Shape
486,1503 Kiler Dr,4.12001E+11,24,2,529,1503 Kiler Dr,Bay Harbor Apartments,AI06-0154,Complex,,2010/03/04 00:00:00+00,,,,,,Yes,5152.046997,336.3877471,
487,404 Edgebrook Dr,4.12001E+11,28,2,530,404 Edgebrook Dr,Bay Harbor Apartments,AI07-0105,Complex,,2010/08/03 00:00:00+00,,,,,,Yes,9387.331421,410.0253349,
488,1507 Kiler Dr,4.12001E+11,24,2,531,1507 Kiler Dr,Bay Harbor Apartments,AI06-0154,Complex,,2010/03/04 00:00:00+00,,,,,,Yes,6373.01416,431.1081647,
489,1509 Kiler Dr,4.12001E+11,9,2,532,1509 Kiler Dr,Bay Harbor Apartments,AI07-0108,Complex,,2011/07/14 00:00:00+00,,,,,,Yes,2877.302246,275.6030715,
490,1601 Kiler Dr,4.12001E+11,9,2,533,1601 Kiler Dr,Bay Harbor Apartments,AI07-0119,Complex,,2008/05/23 00:00:00+00,,,,,,Yes,2885.275757,274.7905205,
491,403 Briar Ln,4.12001E+11,28,2,534,403 Briar Ln,Bay Harbor Apartments,AI07-0106,Complex,,2010/08/03 00:00:00+00,,,,,,Yes,9374.068237,410.4042837,
492,400 Briar Ln,4.12001E+11,7,2,535,400 Briar Ln,Bay Harbor Apartments,AI07-0116,Complex,,2008/05/21 00:00:00+00,,,No,No,,Yes,2758.463501,236.3602807,
493,402 Briar Ln,4.12001E+11,24,2,536,402 Briar Ln,Bay Harbor Apartments,AI07-0109,Complex,,2008/02/05 00:00:00+00,,,No,No,,Yes,9656.623169,733.8706503,
494,2005 Cynthia Dr,4.12002E+11,8,2,537,2005 Cynthia Dr,Garden Village Apartments,AI06-0144,Complex,,2006/12/19 00:00:00+00,,,,,,Yes,4288.42627,358.087296,
495,2007 Cynthia Dr,412002151004 & 412002151001 & 412002151002 +1more,16,2,538,2007 Cynthia Dr,Garden Village Apartments,,Complex,,1970/01/01 00:00:00+00,,,,,,Yes,7718.127563,485.9510262,
496,2003 Cynthia Dr,4.12002E+11,16,2,539,2003 Cynthia Dr,Garden Village Apartments,AI06-0144,Complex,,2006/12/19 00:00:00+00,,,,,,Yes,7766.547485,491.6156386,
497,2006 N Mattis Ave,4.12002E+11,12,2,540,2006 N Mattis Ave,Garden Village Apartments,AI06-0098,Complex,,2006/07/18 00:00:00+00,,,,,,Yes,5809.407471,385.9827747,
498,2009 Cynthia Dr,4.12002E+11,16,2,541,2009 Cynthia Dr,Garden Village Apartments,AI06-0144,Complex,,2006/12/19 00:00:00+00,,,,,,Yes,7822.820801,491.3680579,
499,2011 Cynthia Dr,412002151005 & 412002151001,8,2,542,2011 Cynthia Dr,Garden Village Apartments,,Complex,,1970/01/01 00:00:00+00,,,,,,Yes,4274.544189,362.3848001,
500,2008 N Mattis Ave,4.12002E+11,12,2,543,2008 N Mattis Ave,Garden Village Apartments,AI06-0098,Complex,,2006/07/18 00:00:00+00,,,,,,Yes,5920.207153,389.461663,
501,2013 Cynthia Dr,4.12002E+11,16,2,544,2013 Cynthia Dr,Garden Village Apartments,AI06-0144,Complex,,2006/12/19 00:00:00+00,,,,,,Yes,7730.432983,490.6407992,
502,2015 Cynthia Dr,4.12002E+11,8,2,545,2015 Cynthia Dr,Garden Village Apartments,AI06-0144,Complex,,2006/12/19 00:00:00+00,,,,,,Yes,4330.778687,365.96932,
503,2010 N Mattis Ave,4.12002E+11,12,2,546,2010 N Mattis Ave,Garden Village Apartments,AI06-0098,Complex,,2006/07/18 00:00:00+00,,,,,,Yes,5849.419067,387.8673781,
504,2017 Cynthia Dr,4.12002E+11,16,2,547,2017 Cynthia Dr,Garden Village Apartments,AI06-0144,Complex,,2006/12/19 00:00:00+00,,,,,,Yes,7718.450562,491.1292016,
505,2019 Cynthia Dr,4.12002E+11,16,2,548,2019 Cynthia Dr,Garden Village Apartments,AI06-0144,Complex,,2006/12/19 00:00:00+00,,,,,,Yes,7700.126709,492.0235326,
506,1705 Bloomington Rd,4.12002E+11,8,2,549,1705 Bloomington Rd,Garden Village Apartments,AI06-0144,Complex,,2006/12/19 00:00:00+00,,,,,,Yes,4338.895996,364.4596164,
507,1130 Baytowne Dr,4.12002E+11,16,2,550,1130 Baytowne Dr,Baytowne Apartments,AI08-0094,Complex,,2008/04/18 00:00:00+00,,,,,,Yes,9124.884399,655.1079426,
508,1030 Baytowne Dr,4.12002E+11,8,2,551,1030 Baytowne Dr,Baytowne Apartments,AI08-0094,Complex,,2008/04/18 00:00:00+00,,,,,,Yes,8081.58374,573.4125425,
509,1050 Baytowne Dr,4.12002E+11,8,2,552,1050 Baytowne Dr,Baytowne Apartments,AI08-0094,Complex,,2008/04/18 00:00:00+00,,,,,,Yes,8146.36145,552.5516813,
510,1060 Baytowne Dr,4.12002E+11,8,2,553,1060 Baytowne Dr,Baytowne Apartments,AI08-0094,Complex,,2008/04/18 00:00:00+00,,,,,,Yes,6521.104614,466.6789035,
511,1120 Baytowne Dr,4.12002E+11,8,2,554,1120 Baytowne Dr,Baytowne Apartments,AI08-0094,Complex,,2008/04/18 00:00:00+00,,,,,,Yes,6347.827271,484.3948379,
512,1040 Baytowne Dr,4.12002E+11,8,2,555,1040 Baytowne Dr,Baytowne Apartments,AI08-0094,Complex,,2008/04/18 00:00:00+00,,,,,,Yes,6499.182495,489.3638446,
513,1070 Baytowne Dr,4.12002E+11,16,2,556,1070 Baytowne Dr,Baytowne Apartments,AI08-0094,Complex,,2008/04/18 00:00:00+00,,,,,,Yes,9230.328735,727.4433904,
514,1110 Baytowne Dr,4.12002E+11,16,2,557,1110 Baytowne Dr,Baytowne Apartments,AI08-0094,Complex,,2008/04/18 00:00:00+00,,,,,,Yes,9218.802002,744.5492308,
515,1010 Baytowne Dr,4.12002E+11,8,2,558,1010 Baytowne Dr,Baytowne Apartments,AI08-0094,Complex,,2008/04/18 00:00:00+00,,,,,,Yes,8465.02063,548.2068765,
516,1020 Baytowne Dr,4.12002E+11,16,2,559,1020 Baytowne Dr,Baytowne Apartments,AI08-0094,Complex,,2008/04/18 00:00:00+00,,,,,,Yes,9290.933838,688.3650025,
517,1140 Baytowne Dr,4.12002E+11,22,2,560,1140 Baytowne Dr,Baytowne Apartments,,Complex,,1970/01/01 00:00:00+00,,,,,,Yes,11136.71069,565.6510146,
518,1080 Baytowne Dr,4.12002E+11,8,2,561,1080 Baytowne Dr,Baytowne Apartments,AI08-0094,Complex,,2008/04/18 00:00:00+00,,,,,,Yes,8248.035156,552.4195215,
519,1100 Baytowne Dr,4.12002E+11,8,2,562,1100 Baytowne Dr,Baytowne Apartments,AI08-0094,Complex,,2008/04/18 00:00:00+00,,,,,,Yes,8203.531006,589.0055497,
520,1150 Baytowne Dr,4.12002E+11,7,2,563,1150 Baytowne Dr,Baytowne Apartments,,Complex,,1970/01/01 00:00:00+00,,,,,,Yes,7834.7677,506.5712415,
521,1090 Baytowne Dr,4.12002E+11,8,2,564,1090 Baytowne Dr,Baytowne Apartments,AI08-0094,Complex,,2008/04/18 00:00:00+00,,,,,,Yes,6459.672729,505.0022304,
522,1015 Baytowne Dr,4.12002E+11,8,2,566,1015 Baytowne Dr,Baytowne Apartments,AI08-0094,Complex,,2008/04/18 00:00:00+00,,,,,,Yes,8249.704468,574.2830784,
523,1155 Baytowne Dr,4.12002E+11,7,2,567,1155 Baytowne Dr,Baytowne Apartments,,Complex,,1970/01/01 00:00:00+00,,,,,,Yes,7692.389282,505.6836019,
524,1115 Baytowne Dr,4.12002E+11,8,2,568,1115 Baytowne Dr,Baytowne Apartments,,Complex,,1970/01/01 00:00:00+00,,,,,,Yes,8058.688477,508.4611063,
525,1025 Baytowne Dr,4.12002E+11,16,2,569,1025 Baytowne Dr,Baytowne Apartments,AI08-0094,Complex,,2008/04/18 00:00:00+00,,,,,,Yes,9347.945923,687.1974996,
526,1085 Baytowne Dr,4.12002E+11,12,2,570,1085 Baytowne Dr,Baytowne Apartments,,Complex,,1970/01/01 00:00:00+00,,,,,,Yes,11151.48474,633.7461296,
527,1035 Baytowne Dr,4.11435E+11,8,2,571,1035 Baytowne Dr,Baytowne Apartments,,Complex,,1970/01/01 00:00:00+00,,,,,,Yes,8148.511841,545.9096844,
528,1135 Baytowne Dr,4.11435E+11,22,2,572,1135 Baytowne Dr,Baytowne Apartments,,Complex,,1970/01/01 00:00:00+00,,,,,,Yes,11125.60669,556.5477177,
529,1125 Baytowne Dr,4.11435E+11,20,2,573,1125 Baytowne Dr,Baytowne Apartments,,Complex,,1970/01/01 00:00:00+00,,,,,,Yes,12460.97998,705.4913066,
530,1105 Baytowne Dr,411435400004 & 412002202002,20,2,574,1105 Baytowne Dr,Baytowne Apartments,,Complex,,1970/01/01 00:00:00+00,,,,,,Yes,12408.1438,733.998247,
531,1045 Baytowne Dr,4.11435E+11,8,2,575,1045 Baytowne Dr,Baytowne Apartments,,Complex,,1970/01/01 00:00:00+00,,,,,,Yes,6386.311523,435.1025446,
532,1075 Baytowne Dr,4.11435E+11,20,2,576,1075 Baytowne Dr,Baytowne Apartments,,Complex,,1970/01/01 00:00:00+00,,,,,,Yes,12347.64392,886.1605317,
533,1065 Baytowne Dr,4.11435E+11,8,2,577,1065 Baytowne Dr,Baytowne Apartments,,Complex,,1970/01/01 00:00:00+00,,,,,,Yes,7034.281128,565.9499562,
534,2401 N Neil St,4.11436E+11,12,2,578,2401 N Neil St,Town Center Apartments,AI06-0165,Complex,,2007/05/30 00:00:00+00,,,,,,Yes,4938.575073,328.1123341,
535,2403 N Neil St,4.11436E+11,12,2,579,2403 N Neil St,Town Center Apartments,AI06-0165,Complex,,2007/05/30 00:00:00+00,,,,,,Yes,4923.169067,326.4768301,
536,2407 N Neil St,4.11436E+11,12,2,580,2407 N Neil St,Town Center Apartments,AI06-0165,Complex,,2007/05/30 00:00:00+00,,,,,,Yes,5016.648193,329.3788917,
537,2409 N Neil St,4.11436E+11,12,2,581,2409 N Neil St,Town Center Apartments,AI06-0165,Complex,,2007/05/30 00:00:00+00,,,,,,Yes,6050.993408,372.780787,
538,2405 N Neil St,4.11436E+11,12,2,582,2405 N Neil St,Town Center Apartments,AI06-0165,Complex,,2007/05/30 00:00:00+00,,,,,,Yes,5998.969849,365.6022578,
539,2411 N Neil St,4.11436E+11,12,2,583,2411 N Neil St,Town Center Apartments,AI06-0165,Complex,,2007/05/30 00:00:00+00,,,,,,Yes,6080.624756,374.9404309,
540,2415 N Neil St,4.11436E+11,12,2,585,2415 N Neil St,Town Center Apartments,AI06-0165,Complex,,2007/05/30 00:00:00+00,,,,,,Yes,6013.631226,369.1669034,
541,2401 Hampshire Dr,4.11436E+11,16,2,586,2401 Hampshire Dr,Carisbrooke Apartments,,Complex,,1970/01/01 00:00:00+00,,,,,,Yes,7184.476685,439.7821571,
542,21 Thatcham Dr,4.11436E+11,16,2,587,21 Thatcham Dr,Carisbrooke Apartments,,Complex,,1970/01/01 00:00:00+00,,,,,,Yes,7531.34021,392.6529285,
543,23 Thatcham Dr,4.11436E+11,16,2,588,23 Thatcham Dr,Carisbrooke Apartments,AI11-0025,Complex,,2011/03/22 00:00:00+00,,,,,,Yes,7710.15564,407.581031,
544,2402 Hampshire Dr,4.11436E+11,16,2,589,2402 Hampshire Dr,Carisbrooke Apartments,,Complex,,1970/01/01 00:00:00+00,,,,,,Yes,7171.320801,437.2878305,
545,2401 Carisbrooke Dr,4.11436E+11,16,2,590,2401 Carisbrooke Dr,Carisbrooke Apartments,AI11-0025,Complex,,2011/03/22 00:00:00+00,,,,,,Yes,7547.640015,397.6038105,
546,2421 N Neil St,4.11436E+11,12,2,591,2421 N Neil St,Town Center Apartments,AI06-0165,Complex,,2007/05/30 00:00:00+00,,,,,,Yes,6047.363159,369.5310161,
547,2403 Hampshire Dr,4.11436E+11,16,2,592,2403 Hampshire Dr,Carisbrooke Apartments,,Complex,,1970/01/01 00:00:00+00,,,,,,Yes,7255.124023,438.7355072,
548,2417 N Neil St,4.11436E+11,12,2,593,2417 N Neil St,Town Center Apartments,AI06-0165,Complex,,2007/05/30 00:00:00+00,,,,,,Yes,5976.020508,365.6617024,
549,2425 N Neil St,4.11436E+11,12,2,594,2425 N Neil St,Town Center Apartments,AI06-0165,Complex,,2007/05/30 00:00:00+00,,,,,,Yes,5012.019897,335.6977407,
550,2423 N Neil St,4.11436E+11,12,2,595,2423 N Neil St,Town Center Apartments,AI06-0165,Complex,,2007/05/30 00:00:00+00,,,,,,Yes,4935.559326,327.5150646,
551,2404 Hampshire Dr,4.11436E+11,16,2,596,2404 Hampshire Dr,Carisbrooke Apartments,,Complex,,1970/01/01 00:00:00+00,,,,,,Yes,7170.699097,434.651201,
552,2149 N Neil St,4.11436E+11,12,2,597,2149 N Neil St,Town Center Apartments,AI06-0165,Complex,,2007/05/30 00:00:00+00,,,,,,Yes,4949.404419,328.4246033,
553,2404 Chiswick Dr,4.11436E+11,16,2,598,2404 Chiswick Dr,Carisbrooke Apartments,,Complex,,1970/01/01 00:00:00+00,,,,,,Yes,7556.412354,391.4669625,
554,2403 Heathrow Dr,4.11436E+11,16,2,599,2403 Heathrow Dr,Carisbrooke Apartments,,Complex,,1970/01/01 00:00:00+00,,,,,,Yes,7416.098511,387.3785305,
555,2405 Hampshire Dr,4.11436E+11,16,2,600,2405 Hampshire Dr,Carisbrooke Apartments,,Complex,,1970/01/01 00:00:00+00,,,,,,Yes,7066.626465,428.0174445,
556,2404 Heathrow Dr,4.11436E+11,16,2,601,2404 Heathrow Dr,Carisbrooke Apartments,,Complex,,1970/01/01 00:00:00+00,,,,,,Yes,7471.20752,386.6899795,
557,2403 Carisbrooke Dr,4.11436E+11,16,2,602,2403 Carisbrooke Dr,Carisbrooke Apartments,AI11-0025,Complex,,2011/03/22 00:00:00+00,,,,,,Yes,7554.250366,390.4365564,
558,2406 Hampshire Dr,4.11436E+11,16,2,603,2406 Hampshire Dr,Carisbrooke Apartments,,Complex,,1970/01/01 00:00:00+00,,,,,,Yes,7266.603149,435.2275253,
559,2406 Chiswick Dr,4.11436E+11,16,2,604,2406 Chiswick Dr,Carisbrooke Apartments,,Complex,,1970/01/01 00:00:00+00,,,,,,Yes,7439.21582,388.1621482,
560,2405 Heathrow Dr,4.11436E+11,16,2,605,2405 Heathrow Dr,Carisbrooke Apartments,,Complex,,1970/01/01 00:00:00+00,,,,,,Yes,7573.154419,391.4320588,
561,2406 Heathrow Dr,4.11436E+11,16,2,606,2406 Heathrow Dr,Carisbrooke Apartments,,Complex,,1970/01/01 00:00:00+00,,,,,,Yes,7519.359863,390.6297102,
562,2405 Carisbrooke Dr,4.11436E+11,16,2,607,2405 Carisbrooke Dr,Carisbrooke Apartments,AI11-0025,Complex,,2011/03/22 00:00:00+00,,,,,,Yes,7627.1604,394.6155308,
563,2408 Chiswick Dr,4.11436E+11,16,2,610,2408 Chiswick Dr,Carisbrooke Apartments,,Complex,,1970/01/01 00:00:00+00,,,,,,Yes,7558.89209,402.1924682,
564,2408 Heathrow Dr,4.11436E+11,16,2,612,2408 Heathrow Dr,Carisbrooke Apartments,,Complex,,1970/01/01 00:00:00+00,,,,,,Yes,7645.91272,406.3198054,
565,2408 Hampshire Dr,4.11436E+11,16,2,613,2408 Hampshire Dr,Carisbrooke Apartments,,Complex,,1970/01/01 00:00:00+00,,,,,,Yes,7099.914063,428.6408069,
566,914 Waterview Way,4.11435E+11, ,2,622,914 Waterview Way,Watersedge Apartments,,Complex,,1970/01/01 00:00:00+00,,,,,,Yes,9446.911011,671.2007076,
