OBJECTID,Address,Parcel,Units,Stories,UniqueID,Building_Name,Complex_Name,Case_Number,Building_Type,Status,Last_Date,Comments,Safety_Comments,Fire_Alarms,Sprinkler,Managing_Company,MFRecyclingStatus,ShapeSTArea,ShapeSTLength,Shape
1727,3733 Thornhill Dr,4.42016E+11,10,2,201,3733 Thornhill Dr,Cobblefield Point Condos,,Complex,,1970/01/01 00:00:00+00,,,,,,Yes,942.0528564,156.6847195,
1728,3735 Thornhill Dr,4.42016E+11,10,2,201,3735 Thornhill Dr,Cobblefield Point Condos,,Complex,,1970/01/01 00:00:00+00,,,,,,Yes,940.2950439,143.1399837,
1729,3737 Thornhill Dr,4.42016E+11,10,2,201,3737 Thornhill Dr,Cobblefield Point Condos,,Complex,,1970/01/01 00:00:00+00,,,,,,Yes,1472.87207,186.6833341,
1730,1712 Gentry Square,4.52023E+11,16,3,,1712 Gentry Square,Gentry Square Apartments,,Complex,,1970/01/01 00:00:00+00,,,,,,Yes,3459.570679,291.2997083,
1731,406 N State St,4.22012E+11,17,3,,406 N State St,,,Building,,1970/01/01 00:00:00+00,,,,,,Yes,1556,176.7943703,
1732,408 N State St,4.22012E+11,17,3,,408 N State St,,,Building,,1970/01/01 00:00:00+00,,,,,,Yes,1691.191528,193.8546997,
1733,309 N Prarie St,4.22012E+11,15,3,,309 N Prarie,,,Building,,1970/01/01 00:00:00+00,,,,,,Yes,1514.627441,167.9539921,
1734,305 N Prarie St,4.22012E+11,15,3,,305 N Prarie,,,Building,,1970/01/01 00:00:00+00,,,,,,Yes,1093.920044,132.5674908,
1735,1125 N Third St,4.62107E+11,8,2,447,1125 N Third St,Oaktrace Apartments,AI06-0168,Complex,,2006/09/21 00:00:00+00,,,,,,Yes,1133.938232,143.5126926,
1736,1127 N Third St,4.62107E+11,8,2,447,1127 N Third St,Oaktrace Apartments,AI06-0168,Complex,,2006/09/21 00:00:00+00,,,,,,Yes,741.3603516,129.3462712,
1737,1129 N Third St,4.62107E+11,8,2,447,1129 N Third St,Oaktrace Apartments,AI06-0168,Complex,,2006/09/21 00:00:00+00,,,,,,Yes,892.5279541,136.0786797,
1738,1131 N Third St,4.62107E+11,8,2,447,1131 N Third St,Oaktrace Apartments,AI06-0168,Complex,,2006/09/21 00:00:00+00,,,,,,Yes,724.7503662,119.0169565,
