OBJECTID,Address,Parcel,Units,Stories,UniqueID,Building_Name,Complex_Name,Case_Number,Building_Type,Status,Last_Date,Comments,Safety_Comments,Fire_Alarms,Sprinkler,Managing_Company,MFRecyclingStatus,ShapeSTArea,ShapeSTLength,Shape
802,702 W Washington St,4.22012E+11,5, ,884,Nogle & Black Apts, ,AI07-0101,Building,,2007/10/04 00:00:00+00,,,,,,Yes,2323.817505,208.6059014,
803,312 W Washington St,4.22012E+11,3,2,887,312 W Washington St, ,AI10-0075,Building,,2010/12/16 00:00:00+00,501-502 1/2 N Prairie,,,,,,1432.409546,176.4103937,
804,206 W Washington St,4.22012E+11,4, ,889,206 W Washington St, ,AI06-0178,Building,,2007/08/07 00:00:00+00,,,,,,,2385.456787,197.3234085,
805,406 W Washington St,4.22012E+11,10, ,890,406 W Washington St, ,AI06-0104,Building,,2006/06/09 00:00:00+00,,,,,,Yes,3353.940918,284.1609078,
806,306 W Washington St,4.22012E+11,8, ,891,306 W Washington St, ,AI06-0054,Building,,2006/05/10 00:00:00+00,,,,,,Yes,3495.101318,318.5566942,
807,503 N State St,4.22012E+11,5, ,892,503 N State St, ,AI10-0003,Building,,1970/01/01 00:00:00+00,,,,,,Yes,1997.425171,192.233334,
808,503 W Columbia Ave,4.22012E+11,8, ,894,503 W Columbia Ave, ,AI09-0047,Building,,2009/06/09 00:00:00+00,,,,,,Yes,2984.99939,247.0940064,
809,409 W Columbia Ave,4.22012E+11,5, ,896,409 W Columbia Ave, ,,Building,,1970/01/01 00:00:00+00,,,,,,Yes,2827.511353,293.0159576,
810,311 W Columbia Ave,4.22012E+11,3, ,897,311 W Columbia Ave, ,AI06-0127,Building,,1970/01/01 00:00:00+00,,,,,,,1620.361938,178.7854902,
811,509 N Willis Ave,4.12011E+11,5, ,902,509 N Willis Ave, ,AI07-0110,Building,,2008/12/11 00:00:00+00,,,,,,Yes,2803.189209,231.5856261,
812,604 W Columbia Ave,4.22012E+11,4, ,903,604 W Columbia Ave, ,AI06-0228,Building,,2008/02/19 00:00:00+00,,,,,,,1637.588013,176.2643452,
813,304 W Columbia Ave,4.22012E+11,3, ,904,304 W Columbia Ave, ,AI09-0039,Building,,2009/06/02 00:00:00+00,,,,,,,1725.335083,180.1178034,
814,306 W Columbia Ave,4.22012E+11,5, ,905,306 W Columbia Ave, ,AI09-0025,Building,,1970/01/01 00:00:00+00,,,,,,Yes,2951.120728,230.7247729,
815,211 W Vine St,4.22012E+11,4, ,908,211 W Vine St, ,AI07-0097,Building,,2008/01/23 00:00:00+00,,,,,,,2362.428223,216.8536109,
816,108 W Vine St,4.22012E+11,4, ,909,108 W Vine St, ,AI06-0068,Building,,2007/03/26 00:00:00+00,,,,,,,2127.0271,195.7861811,
817,807 N Prospect Ave,4.12011E+11,3, ,911,807 N Prospect Ave, ,AI07-0159,Building,,2008/04/21 00:00:00+00,,,,,,,1830.475464,181.6094646,
818,809 N Prospect Ave,4.12011E+11,3, ,912,809 N Prospect Ave, ,AI07-0160,Building,,2008/04/21 00:00:00+00,,,,,,,1511.500488,160.3989119,
819,804 N Neil St,4.22012E+11,9, ,913,804 N Neil St, ,,Building,,1970/01/01 00:00:00+00,,,,,,Yes,22057.43372,643.7966555,
820,211 W Eureka St,4.22012E+11,3, ,914,211 W Eureka St, ,AI06-0221,Building,,2011/10/07 00:00:00+00,,,,,,,1837.484375,221.8461617,
821,907 N State St,4.22012E+11,4, ,915,907 N State St, ,AI09-0052,Building,,1970/01/01 00:00:00+00,,,,,,,1196.271973,139.7828761,
822,304 W Eureka St,4.22012E+11,3, ,916,304 W Eureka St, ,AI09-0053,Building,,2010/11/15 00:00:00+00,,,,,,,1269.985962,163.6895086,
823,209 W Beardsley Ave,4.22012E+11,3, ,917,209 W Beardsley Ave, ,AI08-0172,Building,,2008/10/29 00:00:00+00,,,,,,,1193.296875,163.1305651,
824,2206 Dale Dr,32002104007,6, ,919,2206 Dale Dr, ,,Building,,1970/01/01 00:00:00+00,,,,,,Yes,3886.478516,272.6407049,
825,102 Gregory Dr,4.62118E+11,34, ,920,102 Gregory Dr, ,AI06-0223,Building,,2006/12/08 00:00:00+00,,,,,,Yes,7093.183472,459.5213244,
826,202 E Gregory Dr,4.62118E+11,12, ,921,202 E Gregory Dr, ,AI06-0203,Building,,2010/06/07 00:00:00+00,,,,,,Yes,2212.292969,188.2772493,
827,1113 Arbor St,4.62118E+11,5, ,922,1113 Arbor St, ,,Building,,1970/01/01 00:00:00+00,,,,,,,1626.170044,161.410664,
828,1111 Arbor St,4.62118E+11,5, ,923,1111 Arbor St, ,,Building,,1970/01/01 00:00:00+00,,,,,,,1060.561035,135.1840933,
829,1107 S Fourth St,4.62118E+11,49, ,924,1107 S Fourth St, ,AI08-0215,Building,,2009/02/27 00:00:00+00,,,,,,Yes,9356.607178,713.058352,
830,1109 Arbor St,4.62118E+11,6, ,925,1109 Arbor St, ,,Building,,1970/01/01 00:00:00+00,,,,,,,888.3902588,119.3531685,
831,1107 S Euclid St,4.62118E+11,12, ,926,1107 S Euclid St, ,AI06-0166,Building,,2011/11/01 00:00:00+00,,,,,,Yes,2384.08252,202.0917244,
832,1103 S Euclid St,4.62118E+11,23, ,927,Armory Towers, ,AI06-0185,Building,,1970/01/01 00:00:00+00,,,,,,Yes,6250.668335,363.8103,
833,307 E Armory Ave,4.62118E+11,44, ,929,307 E Armory Ave, ,AI09-0124,Building,,2010/04/06 00:00:00+00,,,,,,Yes,3412.441406,264.4547606,
834,1011 S Locust St,4.32013E+11,8, ,930,1011 S Locust St, ,AI08-0002,Building,,2008/01/30 00:00:00+00,,,,,,Yes,2662.074341,217.766835,
835,1012 S First St,4.62118E+11,12, ,931,1012 S First St, ,AI08-0038,Building,,1970/01/01 00:00:00+00,,,,,,Yes,3847.159668,260.3036694,
836,1009 S First St,432013285016 & 432013285015,16,3,932,Stadium View Apartments,,,Building,,1970/01/01 00:00:00+00,,,,,,Yes,5922.961548,367.4873639,
837,308 E Armory Ave,4.62118E+11,31, ,933,308 E Armory Ave, ,AI06-0027,Building,,2007/09/11 00:00:00+00,,,,,,Yes,10684.50598,413.3576625,
838,104 E Armory Ave,462118157012 & 462118157013,10,3,934,104 E Armory,,,Building,,1970/01/01 00:00:00+00,,,,,,Yes,4775.102661,340.4006027,
