OBJECTID,Address,Parcel,Units,Stories,UniqueID,Building_Name,Complex_Name,Case_Number,Building_Type,Status,Last_Date,Comments,Safety_Comments,Fire_Alarms,Sprinkler,Managing_Company,MFRecyclingStatus,ShapeSTArea,ShapeSTLength,Shape
1407,33 Colony West Dr,452024352015 & 452024352016 & 452024352017 +1more,4,2,92,33 Colony West Dr,Colony West,,Complex,,1970/01/01 00:00:00+00,,,,,,,724.3063965,129.0774298,
1408,34 Colony West Dr,452024352015 & 452024352016 & 452024352017 +1more,4,2,92,34 Colony West Dr,Colony West,,Complex,,1970/01/01 00:00:00+00,,,,,,,720.5113525,129.3981081,
1409,2101 Melrose Dr,4.52024E+11,24,2,93,2101 Melrose Dr,Colony West,,Complex,,1970/01/01 00:00:00+00,,,,,,Yes,1237.023682,153.9209213,
1410,2103 Melrose Dr,4.52024E+11,24,2,93,2103 Melrose Dr,Colony West,,Complex,,1970/01/01 00:00:00+00,,,,,,Yes,1489.999512,164.9409349,
1411,2105 Melrose Dr,4.52024E+11,24,2,93,2105 Melrose Dr,Colony West,,Complex,,1970/01/01 00:00:00+00,,,,,,Yes,1134.44873,146.1906451,
1412,2107 Melrose Dr,4.52024E+11,24,2,93,2107 Melrose Dr,Colony West,,Complex,,1970/01/01 00:00:00+00,,,,,,Yes,1478.353271,159.1337329,
1413,2109 Melrose Dr,4.52024E+11,24,2,93,2109 Melrose Dr,Colony West,,Complex,,1970/01/01 00:00:00+00,,,,,,Yes,1324.535278,155.1812773,
1414,2111 Melrose Dr,4.52024E+11,24,2,93,2111 Melrose Dr,Colony West,,Complex,,1970/01/01 00:00:00+00,,,,,,Yes,1291.501831,154.0982767,
1415,2113 Melrose Dr,4.52024E+11,24,2,93,2113 Melrose Dr,Colony West,,Complex,,1970/01/01 00:00:00+00,,,,,,Yes,1349.896973,157.0382219,
1416,38 Colony West Dr,452024352042 & 452024352043 & 452024352044,3,2,95,38 Colony West Dr,Colony West,,Complex,,1970/01/01 00:00:00+00,,,,,,,870.2941895,128.5901432,
1417,37 Colony West Dr,452024352042 & 452024352043 & 452024352044,3,2,95,37 Colony West Dr,Colony West,,Complex,,1970/01/01 00:00:00+00,,,,,,,733.7172852,119.2469476,
1418,2013 Melrose Dr,4.52024E+11,24,2,97,2001 Melrose Dr,Colony West,,Complex,,1970/01/01 00:00:00+00,,,,,,Yes,1380.982788,163.8290435,
1419,2003 Melrose Dr,4.52024E+11,24,2,97,2003 Melrose Dr,Colony West,,Complex,,1970/01/01 00:00:00+00,,,,,,Yes,1385.173096,167.1585179,
1420,2005 Melrose Dr,4.52024E+11,24,2,97,2005 Melrose Dr,Colony West,,Complex,,1970/01/01 00:00:00+00,,,,,,Yes,1354.637451,159.6304933,
1421,2007 Melrose Dr,4.52024E+11,24,2,97,2007 Melrose Dr,Colony West,,Complex,,1970/01/01 00:00:00+00,,,,,,Yes,1348.09021,159.8883488,
1422,2009 Melrose Dr,4.52024E+11,24,2,97,2009 Melrose Dr,Colony West,,Complex,,1970/01/01 00:00:00+00,,,,,,Yes,1388.888306,160.7862308,
1423,2011 Melrose Dr,4.52024E+11,24,2,97,2011 Melrose Dr,Colony West,,Complex,,1970/01/01 00:00:00+00,,,,,,Yes,1409.087036,162.5943319,
1424,2013 Melrose Dr,4.52024E+11,24,2,97,2013 Melrose Dr,Colony West,,Complex,,1970/01/01 00:00:00+00,,,,,,Yes,1324.128174,157.3323603,
